id,description
1601867,"Confirman el primer caso de reinfección por COVID-19 en Estados Unidos-Un estudio difundido este lunes por The Lancet confirma el primer caso de reinfección por COVID-19 detectado en un paciente de Estados Unidos, lo que sugiere que la exposición al virus no se traduce necesariamente en la inmunidad total."
6575554,"Zenaida Solís: El presidente ya no puede levantar la bandera de la lucha contra la corrupción-La congresista Zenaida Solís (Partido Morado) consideró este lunes que el presidente Martín Vizcarra ya no puede levantar “la bandera de la lucha contra la corrupción”, luego que un aspirante a colaborador eficaz declarara ante la fiscalía que habría recibido S/ 1 millón a cambio de una obra en Moquegua."
2328146,"“La reactivación de vuelos al extranjero es lenta”, señala APAVIT-"
5375508,"Elecciones 2021: el PPC acuerda con APP tener el cupo a la segunda vicepresidencia de la República-Alberto Beingolea, presidente del Partido Popular Cristiano (PPC), aseguró que en la alianza electoral establecida con el partido Alianza para el Progreso (APP), primó no mencionar nombres de quienes serían candidatos en el marco de las próximas Elecciones Generales 2021."
8846964,"Suspenden ensayos de vacuna contra el COVID-19 de farmacéutica Johnson & Johnson-La farmacéutica estadounidense Johnson & Johnson anunció hoy la suspensión temporal de ensayos de su candidata a vacuna contra el Covid-19, debido a que uno de los voluntarios desarrolló una enfermedad inexplicable."
1708378,"LINK Segundo Bono Universal: cómo cobrar los 760 soles para Depósito en cuenta-"
5747008,"Alberto Beingolea sobre alianza con APP: “Nos ha preocupado mucho no hablar de nombres”-Beingolea resaltó que en la conversación que tuvieron con Alianza para el Progreso, encontraron una “coincidencia total de objetivos”."
5355612,"Martín Vizcarra: Tres bancadas no apoyarían moción de vacancia-Luego de que El Comercio revelara las declaraciones ante la fiscalía de un aspirante a colaborador eficaz, según las cuales el presidente Martín Vizcarra habría recibido S/ 1 millón a cambio de una obra en Moquegua, cuando era era gobernador regional, el vocero de Unión por el Perú (UPP), José Vega informó que su bancada empezaría hoy a recoger firmas para presentar una nueva moción de vacancia por incapacidad moral contra el mandatario."
5070990,"Velarde: Retiros de AFP podrían generar crisis en mercado de deuda pública y elevar el tipo de cambio-El presidente del Banco Central de Reserva (BCR), Julio Velarde, señaló que las operaciones de Repo no eliminan el riesgo que el retiro del 100% de los fondos de AFP planteado desde el Congreso impacte en el mercado peruano."
4693591,"George Forsyth confirma su intención de postular a la presidencia-George Forsyth anunció este lunes en su renuncia ante el Concejo Municipal de La Victoria, que tentará la presidencia de la República en las próximas Elecciones Generales 2021."
8127772,"Neo Consulting: “Empresas en Perú aún están en la etapa básica de estrategia omnicanal”-Daniel Falcón, CEO de la agencia digital Neo Consulting, resaltó que con canales integrados eficientemente se podría impulsar más el e-commerce"
8732303,"¿Qué instancia del Congreso investigaría testimonio contra presidente Vizcarra?-"
1777078,"George Forsyth: Radiografía del partido con el que buscará la Presidencia-George Forsyth | Candidatos presidenciales | Elecciones 2021 | Desde su fundación en el 2005, Restauración Nacional no ha tenido la mejor de las suertes en el plano electoral nacional. Hoy, se encuentra un proceso de renovación que incluye el cambio de nombre."
6735889,"¿Qué rol están jugando las startups en la innovación empresarial en medio de la pandemia?-De acuerdo con una encuesta realizada por el Banco Central de Reserva (BCR), el 64% de empresas locales encuestadas tuvo que innovar de alguna manera ante la pandemia, siendo la principal innovación los ajustes en los procesos para generar más eficiencias (31%)."
6686043,"Las dificultades del sector hidrocarburos para atraer inversiones a 10 lotes petroleros-"
2475710,"APP firmó alianza con el PPC para las Elecciones Generales 2021, anunció César Acuña-César Acuña informó hoy en su cuenta de Twitter que Alianza Para el Progreso del Perú (APP) el PPC firmaron una alianza para ir juntos a las Elecciones Generales 2021. Esta unión se llamará “Alianza Por el Perú”."
6668506,"Un 72% de trabajadores peruanos aprovechó la pandemia para capacitarse online-"
1104045,"¿Qué tipo de innovaciones realizaron las empresas peruanas a raíz de la pandemia?-"
604040,"Elecciones 2021: hoy vence plazo para renuncias y alianzas de partidos y organizaciones políticas-Hasta hoy es el plazo establecido por el Jurado Nacional de Elecciones (JNE) para que los partidos políticos cumplan con algunos requerimientos con miras a las próximas elecciones generales 2021, entre ellos la inscripción de alianzas electorales."
5189882,"Frente Amplio anuncia que no hará alianza electoral con Juntos por el Perú ni Perú Libre-La agrupación política Frente Amplio informó este lunes que no logró establecer una alianza electoral ni con Juntos por el Perú ni con Perú Libre con miras a las próximas Elecciones Generales 2021."
2374578,"La Victoria: ¿Quién es Luis Gutiérrez Salvatierra, el regidor que llega a la alcaldía tras la renuncia de Forsyth?-El teniente alcalde Luis Guitérrez Salvatierra, miembro del partido Somos Perú desde 2004, será el reemplazante del exfutbolista en el municipio victoriano."
1162504,"Frente Amplio señala que no hará alianza electoral con Juntos por el Perú ni con Perú Libre-La agrupación política Frente Amplio informó este lunes que no logró establecer una alianza electoral ni con Juntos por el Perú ni con Perú Libre con miras a las próximas Elecciones Generales 2021."
4560134,"Jorge Muñoz: “Es incoherente dejar a los electores tirados en el camino”-El alcalde de Lima, Jorge Muñoz, criticó la decisión del burgomaestre de La Victoria, George Forsyth, de renunciar a su cargo para presentarse como candidato a la presidencia de la República en las elecciones generales del 2021."
8946965,"Dólar México: el precio de compra y venta, hoy lunes 12 de octubre de 2020-Precio del dólar en México | El tipo de cambio operaba al alza el lunes en México porque el peso perdía ante un avance del dólar, mientras el mercado seguía de cerca las negociaciones en Estados Unidos para un nuevo paquete de estímulos que ayude a la mayor economía mundial a enfrentar la crisis causada por el coronavirus."
7969291,"DolarToday Venezuela HOY: conoce el precio de compra y venta para este lunes 12 de octubre-DolarToday | El precio del dólar en Venezuela operaba con una tendencia al alza hoy lunes 12 de octubre de 2020, en una jornada en que se conoció que la Unión Europea (UE) anunció que no enviará una comisión para observar las elecciones legislativas que se realizarán en el país sudamericano en diciembre próximo."
