id,description
373476,"Elecciones 2021: Daniel Mora se adhirió al movimiento de Antauro Humala-"
726548,"Fernando D’Alessio anuncia su alejamiento de APP y no integrará plancha presidencial de César Acuña-El exministro de Salud Fernando D’Alessio confirmó su alejamiento de Alianza para el Progreso (APP) por “incompatibilidad de caracteres”, pese a que días antes había anunciado que integraría la plancha presidencial que encabezaría César Acuña para las Elecciones Generales 2021."
91979,"Caso ‘Richard Swing’: Fiscalía incluyó a Óscar Vásquez en investigación preliminar-El Ministerio Público informó que se amplió la investigación preliminar por presuntas irregularidades en la contratación de Richard Cisneros, conocido como ‘Richard Swing’, en el Ministerio de Cultura para incluir a dos exfuncionarios, entre ellos Óscar Vásquez, excoordinador de prensa del despacho presidencial de Martín Vizcarra."
658418,"Elecciones 2021: ¿Por qué las figuras presidenciables se afilian a un partido a última hora?-Elecciones 2021 | Candidatos | La mayoría de ellos se incorporó a partidos pequeños. Politólogos Paula Muñoz y Mauricio Zavaleta señalan que era más fácil negociar con este tipo de agrupaciones que con las más institucionalizadas."
634056,"Abren indagación contra fiscal Rocío Sánchez a cargo del caso “Los Cuellos Blancos del Puerto”-La Oficina Desconcentrada de Control Interno del Ministerio Público dispuso que se lleve a cabo una indagación de oficio contra la fiscal Rocío Sánchez, integrante del equipo especial dedicado a investigar el caso “Los Cuellos Blancos del Puerto”, por presuntas irregularidades en el manejo de la información que ha recabado durante todo el proceso."
501755,"Presidente de Todos por el Perú: Fernando Cillóniz “no ha tenido la gentileza por lo menos de llamarme”-El presidente de Todos por el Perú (TPP), Aureo Zegarra, reveló este domingo que el exgobernador regional de Ica Fernando Cillóniz, quien se inscribió en dicha agrupación el pasado 22 de setiembre, “no ha tenido la gentileza” de llamarlo e indicó que no lo conoce personalmente."
14175,"JNE: partidos inscritos deben presentar sus reglamentos electorales hasta el 12 de octubre-Los partidos con inscripción vigente deben presentar hasta el próximo 12 de octubre, ante el Registro de Organizaciones Políticas (ROP), sus respectivos reglamentos electorales con miras a los comicios internos que deben desarrollarse este año como parte de las Elecciones Generales 2021, informó el Jurado Nacional de Elecciones (JNE)."
169984,"JNJ buscará que el 100% de jueces y fiscales sean titulares en los próximos años-La Junta Nacional de Justicia (JNJ) buscará revertir la provisionalidad en el sistema de justicia, pues considera que esta condición es un factor de vulnerabilidad en la independencia en la actuación de jueces y fiscales, sostuvo el presidente de este colegiado, Aldo Vásquez."
216633,"Martín Vizcarra y Manuel Merino se reúnen en Palacio: los momentos de una relación de tensión-El presidente Martín Vizcarra y Manuel Merino, titular del Congreso, se reúnen diez días después del debate de la vacancia presidencial. Recordamos cómo pasaron de una relación protocolar a imputaciones de mentiras y conspiraciones."
148285,"César Hinostroza ante Corte Suprema: “Pido a ustedes, autoridades puestas por Dios, que yo sea saciado con justicia”-El exjuez supremo César Hinostroza, investigado como presunto cabecilla de “Los Cuellos Blancos del Puerto”, participó vía videoconferencia en la audiencia que realizó esta mañana la Sala Penal Especial de la Corte Suprema para evaluar su pedido para que el Ministerio Público precise los cargos por los cuales está siendo imputado."
124630,"Elecciones 2021: Pedro Cateriano confirma conversaciones de afiliación con Todos por el Perú-El ex primer ministro Pedro Cateriano dijo a El Comercio que la decisión de afiliarse al partido Todos por el Perú (TPP) será tomada entre este lunes y el martes, poco antes de que venza el plazo para la inscripción en organizaciones políticas y participar en las elecciones internas. En estos comicios se elegirá a los candidatos de las ternas presidenciales y del Parlamento."
118654,"Revelan denuncias contra congresista Cecilia García registradas con su anterior número de DNI-La congresista Cecilia García Rodríguez, de Podemos Perú, tiene dos denuncias por agresión registradas en el año 2015 y 2016, pero que figuran a su anterior DNI."
715379,"Edgar Alarcón niega haber coordinado investigación del caso Richard Swing con abogado de Karem Roca-El presidente de la Comisión de Fiscalización, Edgar Alarcón (Unión por el Perú), negó haber realizado algún tipo de coordinación con el abogado de Karem Roca, Fabio Noriega, sobre la elaboración de un informe sobre la investigación del caso ‘Richard Swing’, tras la difusión de nuevos audios que lo mencionan en supuestas conversaciones para eximir de responsabilidades a la exasesora del despacho de Martín Vizcarra."
420085,"Susel Paredes y George Forsyth: de aliados en La Victoria a posibles rivales electorales-En la misma semana el dueto más visible a nivel de gestión municipal: el alcalde de La Victoria, George Forsyth, y la exgerenta de Fiscalización Susel Paredes, develaron sus intenciones de participar en las próximas elecciones del 2021. Pero esta vez no caminarán juntos. Cada uno irá con una agrupación diferente y, eventualmente, serán rivales en esta justa electoral que empieza a animarse."
